"","tweet","existence","existence.confidence","binary"
"179","barrett better to have lots of small protocols on climate change than pushing for one comprehensive one","Yes",1,0
"180","of mountains could complicate rates of global warming","Yes",1,0
"181","i support the world people s conference on climate change in bolivia watch live now at","Yes",0.6141,0
"182","many global issues require universal operation to address e g smallpox ozone layer climate change","Yes",0.5849,0
"183","boiling point containing the spill over of climate change in the indian subcontinent","Yes",0.5362,0
"184","no link now between and climate change but a warming world could trigger earthquakes landslides","Yes",0.6195,0
"185","vulnerable to climate change","Yes",0.8168,0
"186","vulnerable to climate change","Yes",0.8033,0
"187","vulnerable to climate change","Yes",0.8133,0
"188","carbon offsets how a vatican forest failed to reduce global warming","Yes",1,0
"189","carbon offsets how a vatican forest failed to reduce global warming","Yes",0.7937,0
"190","ethiopia climate change increasing poverty and vulnerability","Yes",1,0
"191","ethiopia climate change increasing poverty and vulnerability small scale farmers and i","Yes",1,0
"192","most important event in the struggle against climate change nigerian environmentalist on","Yes",0.8272,0
"193","most important event in the struggle against climate change nigerian environmentalist on","Yes",0.8148,0
"194","ocean saltiness shows global warming is intensifying our water cycle","Yes",1,0
"195","china s major policies to tackle climate change since year","Yes",0.5833,0
"196","biologist links early blooms to global warming associated press april am et","Yes",0.8026,0
"197","biologist links early blooms to global warming associated press april am et","Yes",0.8125,0
"198","global warming evidence all around us a message to global warming deniers and doubters just look around our","Yes",1,0
"199","global warming evidence all around us a message to global warming deniers and doubters just look around our","Yes",1,0
"200","global warming evidence all around us a message to global warming deniers and doubters just look around our","Yes",1,0
"201","will global warming make iceland s volcanoes angry melting glaciers around the world could trigger a global","Yes",1,0
"202","will global warming make iceland s volcanoes angry melting glaciers around the world could trigger a global","Yes",0.6167,0
"203","climate change could get katrina like flood in a warmer wetter future sea feet in","Yes",0.7732,0
"204","climate change geologists drill into ice sheets future melt could come fast","Yes",1,0
"205","either capitalism dies or mother earth does morales claims in the people s world conference on climate change","Yes",0.8205,0
"206","yet another gift from global warming increased allergy attacks","Yes",1,0
"207","africa bomb awaiting africa is no doubt that climate change as an environmental issue ha","Yes",1,0
"208","buying carbon offsets may ease guilt but not global warming","Yes",0.6772,0
"209","all eyes on suffering from global warming","Yes",1,0
"210","migratory birds new climate change strategy stay home","Yes",0.7887,0
"211","on ocean floor populations of organisms despite little oxygen global warming cause oxygen depletion reduce","Yes",1,0
"212","join us for a discussion on earth day climate change food security irreversible destiny","Yes",0.7789,0
"213","pat on the dangers of and manipulating the planet to combat climate change","Yes",0.605,0
"214","seasonal allergies getting worse from climate change","Yes",1,0
"215","just because i believe in global warming peeps thinks i should believe in god instead why","Yes",1,0
"216","seasonal allergies getting worse from climate change","Yes",0.6652,0
"217","seasonal allergies getting worse from climate change","Yes",1,0
"218","i advise everyone who thinks global warming is dead to buy oceanfront property and live there see ya","Yes",1,0
"219","global warming melting ice caps could volcanic eruptions","Yes",1,0
"220","mary ellen and john addressing climate change winning the war on at its heart","Yes",0.7923,0
"221","global warming unequivocal and primarily human induced","Yes",0.6131,0
"222","increasingly corporations are concluding climate change is real betting on climate change wired","Yes",0.5843,0
"223","on s message get house in order fight global warming green","Yes",0.7916,0
"224","cynthia on meat wise monday how animal agriculture makes global warming worse","Yes",1,0
"225","global warming melting ice caps could volcanic eruptions","Yes",0.6037,0
"226","global warming unequivocal and primarily human induced","Yes",0.6063,0
"227","global warming melting ice caps could trigger more volcanic eruptions","Yes",1,0
"228","hey we came up with all kinds of ideas for fixing global warming loved my class sighs","Yes",1,0
"229","an overview of the green car going green increasing about the threat of global warming","Yes",1,0
"230","southern africa competing for water climate change will bring higher temperatures to","Yes",0.8113,0
"231","eruption of in iceland let s call the year the earth struck back is for global warming for oil spills","Yes",1,0
"232","climate change americas photos","Yes",1,0
"233","bishop lane episcopal of maine climate change most important issue of our time daily","Yes",0.8036,0
"234","cool it global warming is bad enough without you heating things up in the interest of honest discussion can we","Yes",1,0
"235","climate change migration patterns have changed for billion birds","Yes",1,0
"236","climate change americas photos","Yes",0.7973,0
"237","volcanic ash cloud global warming may trigger more volcanoes climate change could spark more hazardous","Yes",1,0
"238","volcanic ash cloud global warming may trigger more volcanoes climate change could spark more hazardous","Yes",0.814,0
"239","just briefed on global cooling volcanoes i wonder if it gets to the stratosphere can it slow improve global warming","Yes",0.7834,0
"240","climate change your allergies","Yes",0.6015,0
"241","climate change americas photos","Yes",1,0
"242","bobby mocked volcano warnings the papers lately start thinking for yourselves","Yes",0.5904,0
"243","cara at we re all stranded this weekend and we re getting a sneak preview of climate change we have to adapt","Yes",0.8233,0
"244","larry brilliant at we have to fight for science the single most important thing we face is climate change","Yes",0.8105,0
"245","larry brilliant at we have to fight for science the single most important thing we face is climate change green","Yes",1,0
"246","damn man that ash cloud in is crazy they say due to global warming with the volcano activating getting crazy","Yes",0.7788,0
"247","larry brilliant at climate change is exacerbating all other crises of our age but climate science is now under attack","Yes",0.8451,0
"248","climate change americas photos","Yes",1,0
"249","global warming to impact wheat rice production in india scarcity of water will have a serious","Yes",1,0
"250","global warming causes volcano eruptions by jonah from a thaw of iceland s","Yes",0.794,0
"251","global warming to impact wheat rice production in india scarcity of water will have a serious","Yes",1,0
"252","climate change volcanic activity ice awaken icelandic volcanoes","Yes",0.7738,0
"253","the amazon how south s climate change affects entire interview of","Yes",1,0
"254","climate change americas photos","Yes",0.8176,0
"255","hmmm they rather buried the here iceland glaciers melt from global warming then volcanoes go off","Yes",0.7959,0
"256","not sure if this is consensus but scientist warns climate change will lead to more volcano crises due to melting ice","Yes",0.617,0
"257","wishing i was in at the people s world conference on climate change and mother earth","Yes",0.8121,0
"258","i feel that change making seasonal allergies worse near record highs this spring","Yes",1,0
"259","climate change making seasonal allergies worse near record highs this spring","Yes",1,0
"260","like icelandic volcanic eruptions disrupting your air travel climate change glacier thaw more of it","Yes",1,0
"261","summit offers new approach to combating climate change","Yes",0.7951,0
"262","climate change is making you sneeze","Yes",1,0
"263","climate of change from something as simple as reminding computer users to power down when not","Yes",0.5934,0
"264","to be concerned about climate change spring in connecticut brings renewal","Yes",1,0
"265","need to switch to renewable energy climate scientists have long warned us that global warming is accelerating","Yes",1,0
"266","need to switch to renewable energy climate scientists have long warned us that global warming is accelerating","Yes",1,0
"267","climate change culprit for off the charts pollen counts","Yes",0.8164,0
"268","coalition of waiting fighting climate change at ground level","Yes",0.8205,0
"269","allergy with climate change a new report released on wednesday by the national wildlife","Yes",1,0
"270","coalition of waiting fighting climate change at ground level","Yes",1,0
"271","how do we solve this global warming thing","Yes",0.7997,0
"272","coalition of waiting fighting climate change at ground level","Yes",0.8731,0
"273","coalition of waiting fighting climate change at ground level","Yes",0.7796,0
"274","coalition of waiting fighting climate change at ground level","Yes",0.6111,0
"275","how do we solve this global warming thing","Yes",1,0
"276","how do we solve this global warming thing","Yes",0.8182,0
"277","allergy season to get worse with climate change","Yes",0.8033,0
"278","cute i mention global warming and a sends me a link to a finnish newspaper article purportedly refuting it","Yes",0.7862,0
"279","is nationalizing the energy industry necessary to fight global warming","Yes",0.7995,0
"280","a preliminary analysis suggests that natural gas could contribute far more to global warming than previously","Yes",1,0
"281","iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland","Yes",1,0
"282","iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland","Yes",1,0
"283","reading blame global warming","Yes",1,0
"284","t think climate change is a serious problem as i said they re ignorant","Yes",1,0
"285","missing heat may affect future climate change","Yes",0.5899,0
"286","climate change building a green economy","Yes",1,0
"287","climate change threatening glacier national park and montana s economy examiner","Yes",0.798,0
"288","new york climate change could raise cost of allergies","Yes",0.5979,0
"289","ecotone climate change from a population perspective","Yes",0.581,0
"290","climate change blamed as coastal whale migration dwindles ventura county","Yes",0.8767,0
"291","your allergies are bad now wait until climate change kicks in","Yes",1,0
"292","exclusive climate change could raise cost of u s allergies","Yes",0.8037,0
"293","spring storm season starting a little late this year must be global warming","Yes",0.6128,0
"294","kenya extreme perceptions effects of climate change such as drought","Yes",0.7933,0
"295","climate change is not just about the climate it is about our lives","Yes",1,0
"296","all major league to climate change deniers","Yes",0.6015,0
"297","climate change endangered places and how to save","Yes",0.8172,0
"298","of the day plant your birthday plants absorb which helps reduce global warming","Yes",1,0
"299","united states must lead on climate change kerry climate and energy bill has multiple benefits green","Yes",0.7759,0
"300","green net how the computing can fight climate change","Yes",0.7693,0
"301","green net how the computing can fight climate change software computing","Yes",1,0
"302","leaked u s document calls for climate change","Yes",0.6042,0
"303","climate change endangered places and how to save","Yes",0.7797,0
"304","cities to stop climate change","Yes",1,0
"305","climate change glacier national park s icons national p","Yes",1,0
"306","climate change endangered places and how to save","Yes",0.8165,0
"307","climate change endangered places and how to save","Yes",0.8106,0
"308","faces climate change flood threat expert culture society arabia","Yes",1,0
"309","you and us and me china active serious in tackling climate change says vic","Yes",0.8122,0
"310","study asia will be hit hard by climate change","Yes",0.798,0
"311","action help protect wildlife habitat from climate change","Yes",1,0
"312","china must act soon on climate change","Yes",0.6099,0
"313","if capitalism t end climate change climate change will end capitalism","Yes",1,0
"314","action help protect wildlife habitat from climate change","Yes",0.8123,0
"315","action help protect wildlife habitat from climate change","Yes",0.8221,0
"316","action help protect wildlife habitat from climate change","Yes",0.8878,0
"317","demand congress take action on climate change sign the petition","Yes",0.8305,0
"318","action help protect wildlife habitat from climate change","Yes",1,0
"319","action help protect wildlife habitat from climate change","Yes",1,0
"320","carbon age is killing us climate change legislation now","Yes",0.7971,0
"321","action help protect wildlife habitat from climate change","Yes",1,0
"322","action help protect wildlife habitat from climate change","Yes",1,0
"323","government claims global warming may cause cancer","Yes",0.6207,0
"324","government claims global warming may cause cancer","Yes",1,0
"325","protect wildlife habitat from climate change","Yes",1,0
"326","action help protect wildlife habitat from climate change","Yes",0.8123,0
"327","plan b california braces for climate change","Yes",0.8165,0
"328","action help protect wildlife habitat from climate change","Yes",0.6155,0
"329","nine scenarios for imminent only one is global warming","Yes",0.7835,0
"330","if capitalism t end climate change climate change will end capitalism","Yes",1,0
"331","work for to get involved call now","Yes",0.9174,0
"332","action help protect wildlife habitat from climate change","Yes",1,0
"333","action help protect wildlife habitat from climate change","Yes",0.8043,0
"334","action help protect wildlife habitat from climate change","Yes",1,0
"335","action help protect wildlife habitat from climate change","Yes",1,0
"336","global warming may cause cancer mental illness","Yes",0.5864,0
"337","sec warns held companies to advise investors of risks of climate change","Yes",0.5768,0
"338","save the whales save us from global warming","Yes",1,0
"339","al gore i if a snake were coming up the aisle there t be a long debate about what to do and we dawdle about climate change","Yes",0.6285,0
"340","we should be leaders on climate change but it is always put on the back burner","Yes",1,0
"341","got allergies by jonah blame global warming allergies blame","Yes",0.8068,0
"342","climate change and why your allergies are getting worse","Yes",1,0
"343","watch dimming the sun for more on this could cleaner air actually intensify global warming more at","Yes",0.6058,0
"344","people in poor countries are times more likely to be affected by disasters caused by climate change than those in the developed world","Yes",1,0
"345","got allergies by jonah blame global warming allergies blame","Yes",0.8098,0
"346","climate change devastating rural ethiopian communities","Yes",1,0
"347","in putting a price on global warming to spur development of alternative technology","Yes",0.6058,0
"348","work for to get involved call now","Yes",0.8206,0
"349","health effects are a big deal impacts of climate change extend to human health","Yes",1,0
"350","climate change causing change in ocean chemistry at unprecedented rate","Yes",1,0
"351","global warming can be good for","Yes",1,0
"352","allergies blame global warming","Yes",0.7953,0
"353","bats birds lizards can fight climate change wired","Yes",0.6008,0
"354","for global warming could affect patient symptoms","Yes",1,0
"355","just signed an petition to take action on climate change via","Yes",1,0
"356","climate change as a curable disease","Yes",0.6413,0
"357","global warming believe it your editorial on global warming keeping the debate honest","Yes",0.8037,0
"358","see how member is working to be part of the solution in addressing the climate change challenge","Yes",1,0
"359","interesting point re why macro like global warming are never solved politicians need only solve immediate for re election","Yes",0.7949,0
"360","yet another gift from global warming increased allergy attacks","Yes",1,0
"361","global climate change effects on the mid continent to view animations","Yes",0.6272,0
"362","are you ready for climate change if so let your lawmakers know how tell them sign petitions drop a hint","Yes",1,0
"363","expands climate change policy and carbon","Yes",0.7894,0
"364","global warming unequivocal and primarily human induced","Yes",0.7919,0
"365","allergies blame global warming to an cold and snowy winter followed by an earl","Yes",1,0
"366","giving a climate change denier a nature show keep sarah off discovery","Yes",0.5906,0
"367","allergy season to get worse with climate change read really sucks for me","Yes",0.6058,0
"368","coda automotive lauded for innovation to combat climate change and air pollution","Yes",1,0
"369","claims climate change for increase of allergies","Yes",0.8026,0
"370","claims climate change for increase of allergies","Yes",0.8039,0
"371","in mid april in love the global warming","Yes",1,0
"372","global warming will make allergies worse for million americans hitting those with asthma hardest","Yes",1,0
"373","degrees in april eh global warming nice to meet u","Yes",1,0
"374","crop wild relatives in article about adapting agriculture to climate change","Yes",1,0
"375","u s document calls for climate change","Yes",0.8075,0
"376","u s document calls for climate change","Yes",0.603,0
"377","more glaciers are gone from namesake nat park due to global warming reports","Yes",1,0
"378","feeling the heat down under when it comes to climate change erwin jackson climate institute","Yes",1,0
"379","leads the way college mobilising democracy change","Yes",0.8159,0
"380","exclusive climate change could raise cost of u s allergies","Yes",1,0
"381","sen kerry writing today u s must lead on climate change","Yes",0.6172,0
"382","fight climate change from all fronts","Yes",0.8041,0
"383","fight climate change from all fronts","Yes",1,0
"384","exclusive climate change could raise cost of u s allergies","Yes",0.6032,0
"385","fight climate change from all fronts","Yes",1,0
"386","fight climate change from all fronts","Yes",1,0
"387","fight climate change from all fronts","Yes",0.8269,0
"388","fight climate change from all fronts","Yes",0.8235,0
"389","clothing industry started global warming in the first place","Yes",1,0
"390","fight climate change from all fronts","Yes",0.7904,0
"391","fight climate change from all fronts","Yes",0.6167,0
"392","people fighting climate change","Yes",0.5861,0
"393","people fighting climate change people","Yes",0.6723,0
"394","crop wild relatives in article about adapting agriculture to climate change","Yes",1,0
"395","effort to remake america s energy future and fight global warming could be harmed or spurred by gulf","Yes",1,0
"396","how would catastrophic climate change change the average persons life unemployment every where on the planet for several decades","Yes",0.5889,0
"397","arctic ice loss accelerating global warming new zealand global warming may be getting worse","Yes",1,0
"398","california taking the lead on climate change","Yes",0.8078,0
"399","plants effective way of tackling global warming washington ani plant leaves account for less than one","Yes",1,0
"400","namibia to get active on climate change","Yes",0.7871,0
"401","plants effective way of tackling global warming","Yes",1,0
"402","wait here s an idea it s natural climate change not human induced global warming","No",0.6206,1
"403","just us generals say climate s security","Yes",0.6007,0
"404","glacial melt from global warming could unplug volcanos a diary of the planet eruptions of glacial","Yes",1,0
"405","off shore drilling threatens wildlife and contributes to climate change urge not to expand drilling","Yes",0.6162,0
"406","news global warming t all if you re an in the frozen reaches of canada warmer temperature","Yes",1,0
"407","global warming may cause cancer mental illness a new government report says global","Yes",0.6025,0
"408","global warming picking up steam top science adviser says john p s top science adviser","Yes",0.6104,0
"409","disease already costs billion a year and climate change could make it even pricier","Yes",0.8235,0
"410","issues report on u s climate change indicators warming is having measurable effect across","Yes",1,0
"411","save the whales save us from global warming need more proof that global warming is the","Yes",0.5966,0
"412","wine grapes have become our best early warning system for the effects of global warming","Yes",1,0
"413","wine grapes have become our best early warning system for the effects of global warming","Yes",0.5906,0
"414","climate change the evidence of global warming all around us","Yes",1,0
"415","climate change the evidence of global warming all","Yes",0.7965,0
"416","exclusive climate change could raise cost of u s allergies","Yes",1,0
"417","cleaner air could speed global warming","Yes",0.7984,0
"418","whale fights global warming and voyage home had many convinced t","Yes",0.5851,0
"419","exclusive climate change could raise cost of u s allergies","Yes",1,0
"420","new facts support global warming case letter writer charles is either out of touch with reliable","Yes",0.7844,0
"421","researchers track climate change","Yes",0.6214,0
"422","study climate health","Yes",1,0
"423","of alaska before the effects of global warming","Yes",1,0
"424","in vino wine grape has become our best early warning system for the effects of global warming","Yes",0.5837,0
"425","conservation international give a gift that helps prevent climate change provides habitat for endangered specie","Yes",0.6369,0
"426","conservation international give a gift that helps prevent climate change provides habitat for endangered specie","Yes",0.7987,0
"427","climate change is real and climate change has consequences for all of us","Yes",1,0
"428","global warming ocean us warned last","Yes",1,0
